"","X","model","state","observations","dwell_time","estimates","true","mean","median","sd","bias_mean","bias_mean_pp","bias_median","bias_median_pp","coverage_pp"
"183",19,"mhmm",4,200,"3.5","dwell_mu_bar_3",3.476,2.53,2.52,0.18,-0.95,27.19,-0.95,27.39,0
"184",20,"mhmm",4,200,"3.5","dwell_mu_bar_4",3.476,2.56,2.55,0.18,-0.91,26.32,-0.92,26.51,0
"185",1,"mhmm",4,200,"19.5","gamma_prob_bar_S1toS1_no_diag",0,0,0,0,0,NA,0,NA,100
"186",2,"mhmm",4,200,"19.5","gamma_prob_bar_S1toS2_no_diag",0.333,0.34,0.34,0.03,0.01,2.47,0.01,2.34,99.22
"187",3,"mhmm",4,200,"19.5","gamma_prob_bar_S1toS3_no_diag",0.333,0.33,0.33,0.03,0,0.83,0,0.96,100
"188",4,"mhmm",4,200,"19.5","gamma_prob_bar_S1toS4_no_diag",0.333,0.33,0.33,0.03,-0.01,1.64,-0.01,1.78,99.22
"189",5,"mhmm",4,200,"19.5","gamma_prob_bar_S2toS1_no_diag",0.333,0.35,0.35,0.03,0.02,4.85,0.02,4.75,97.66
"190",6,"mhmm",4,200,"19.5","gamma_prob_bar_S2toS2_no_diag",0,0,0,0,0,NA,0,NA,100
"191",7,"mhmm",4,200,"19.5","gamma_prob_bar_S2toS3_no_diag",0.333,0.33,0.33,0.03,0,0.28,0,0.39,99.22
"192",8,"mhmm",4,200,"19.5","gamma_prob_bar_S2toS4_no_diag",0.333,0.32,0.32,0.03,-0.02,4.57,-0.02,4.69,99.22
